users,precision,recall,mape
VWDL0VgQ2ivpN3oYhL_WsA,0.0,0.0,NaN
8cf5U6sCwYPKDKyLfSi6Ig,0.0,0.0,NaN
771OWzbzelsEeSlx8QsfsQ,0.0,0.0,NaN
79D7HDjpw0iZq6iu52vsSg,0.0,0.0,1.0
R6VQwYh9UiV-gDZ1bh0jzw,0.0,0.0,NaN
0NMeLD8uzXZiniOu-ZpcJw,0.04,0.4,0.6
DrnGZrzdxxsUys2cUSYGBQ,0.0,0.0,1.0
oUst55rUuv2nKEQ0FgJ5GQ,0.0,0.0,1.0
avXKk5RYsDWeRgkHv1wfGQ,0.0,0.0,NaN
z_tqPytGQF_tDw_buHKJcw,0.02,0.06666666666666667,0.9333333333333333
1J1wECaKO1sw8_iMKyDjKA,0.0,0.0,NaN
XOk0Wx1X2qzK5GQq05Aaww,0.06,0.21428571428571427,0.7857142857142857
YIVBjffQUJdzF03H_H4zOA,0.01,0.16666666666666666,0.8333333333333334
rRrFcSEZOTw6iZagsIwTFQ,0.01,0.3333333333333333,0.6666666666666666
EyaluppfmU_oI5pb2jF1TQ,0.0,0.0,NaN
HXv7eS-jw4fTVC42HSl0Qw,0.0,0.0,1.0
ZQYNombDho1PYfnEWFZevw,0.0,0.0,NaN
aX5i6wJy56uyxFtO03hDIA,0.0,0.0,NaN
26EGKrwfJaIJ_gtBdRfxmA,0.01,0.08333333333333333,0.9166666666666666
6du1fgiym4-NeT0f0uegEg,0.0,0.0,NaN
zemsVfzVyyJDPRg6742H4Q,0.0,0.0,1.0
RokD72lhLgQbnfVUJg3bkg,0.07,0.25,0.75
7gtNH30QfC3muRG9wiDbmg,0.0,0.0,NaN
OlsL70HRz3_C9J2WcwuZKw,0.06,0.6,0.4
Et79VAN692zD2j32PM1E8w,0.0,0.0,NaN
y1D2XeZmbQUuQ2ruAr6czQ,0.0,0.0,NaN
FFo6LcBgaFiUgcUHvGqTag,0.03,0.13043478260869565,0.8695652173913043
ia5kvJxYR8gPItl9O4W0Mg,0.0,0.0,1.0
vV7PAaSHB6m__NOY0HHPUg,0.02,0.15384615384615385,0.8461538461538461
VM-pBrNPfZm-5YWcMCVbqw,0.01,0.09090909090909091,0.9090909090909091
lOBObjsCtw_eiyN7T_B75w,0.01,0.07692307692307693,0.9230769230769231
eAJ3Ip0vh-zuk_BmcmchYA,0.01,0.1111111111111111,0.8888888888888888
-rr8yexI0JRT_pqyNgu6jg,0.06,0.6,0.4
TK7208ZMWAERUUY2dEtD6w,0.0,0.0,NaN
N8M8KBiVwRRwY8DsjPVIvg,0.0,0.0,NaN
BuwzRmdVk0uu17qG49l37A,0.01,0.3333333333333333,0.6666666666666666
J-eexAebz2FnwkHmyiDWdg,0.03,0.3333333333333333,0.6666666666666666
LfKyD_XaTnfKoKujRZ1Wug,0.0,0.0,1.0
fEMdDmchvJeMX4fP9VLZyw,0.0,0.0,1.0
vPOkQJKahhR13LQ2ElSFGg,0.0,0.0,NaN
J56JulofBGLzq02id0Xv3g,0.01,0.3333333333333333,0.6666666666666666
0MluhHmcyoSJSCDJMckCFQ,0.0,0.0,1.0
P2sQVHyHmy4WA0I7NI5hWg,0.0,0.0,NaN
_v0FNPAytigcCjBMA6JOIQ,0.02,0.14285714285714285,0.8571428571428571
FPpXNxqy9Gl2UxnZAQHVVw,0.0,0.0,1.0
_bUf-9uN9ajvLs03VBxn6Q,0.0,0.0,NaN
CjhTdmN6qWEKC7Zo6qadow,0.04,0.2857142857142857,0.7142857142857143
95BD1ZQb_g-tCbll7Hp20g,0.01,0.0625,0.9375
tJ1qdNdG0tZywbgH9uw9qw,0.0,0.0,NaN
gYjP8zOIJaXh9MrhqqzwRg,0.0,0.0,1.0
nFKFHfjRr5Ipj2Tmf5Qukw,0.0,0.0,1.0
zAFM9i5XHL4LWMqZcu7_4g,0.0,0.0,NaN
EBJY2eXk40CI4kqfngS7jg,0.0,0.0,1.0
TaVuQWmXAhxy_LvIXBs9sg,0.04,0.2857142857142857,0.7142857142857143
36uY0YLHy70zR7YoXLUKSA,0.0,0.0,NaN
pG9y1uv735_8gqz3-fK-Bw,0.0,0.0,NaN
6HM3Hm3gP0MJ8XN7IkRcRg,0.0,0.0,NaN
qPmcv869l2xgR_Igvqc6Gw,0.01,1.0,0.0
hIG5qvEbM0qLavmUet7qNw,0.01,0.14285714285714285,0.8571428571428571
WsAejVneMXU-_yp_W0b_2A,0.03,0.23076923076923078,0.7692307692307693
N2JbGLHvN8Fmgd03rMJUrw,0.01,0.14285714285714285,0.8571428571428571
yszYcfzs9iyQ4cAnE2sMvg,0.0,0.0,1.0
rKfXiVORJOWKofiwHTzvrA,0.0,0.0,NaN
V0paFRuAuYigBqqFL5m3hA,0.03,0.12,0.88
CVHGjL2hx-EsAvnTHJayYQ,0.08,0.26666666666666666,0.7333333333333333
4zYIcJNAaiYHZkRPcGb_tA,0.0,0.0,1.0
92e_B3VDY5TqxVYsKuNzKg,0.0,0.0,NaN
kchTM2GB-t4yUrdzt_yzPw,0.0,0.0,NaN
-s_3V_7IrkVBcsi-gWxKog,0.01,0.5,0.5
7GVA958q4zs5Z8cdHauU5Q,0.04,0.4444444444444444,0.5555555555555556
x9V7ULRHEGavQD9lR1U0zg,0.02,0.2222222222222222,0.7777777777777778
J7xfWyoVv90PVn2T7JZuhw,0.05,0.2631578947368421,0.7368421052631579
soc2J5OHH7V6JQ7t211Icg,0.0,0.0,NaN
XhkqtgCtfBr81xZJAGcETA,0.0,0.0,NaN
U4qKtWpJgDdeA-nxqKU_jg,0.0,0.0,NaN
3UiW_76DLpz9qQ9PTdHR7w,0.01,0.25,0.75
cMEtAiW60I5wE_vLfTxoJQ,0.03,0.09090909090909091,0.9090909090909091
aGJyYiJNYaz8a-Boa0BOlA,0.0,0.0,1.0
Upv3A5f9VVRaDSmU9M-KmQ,0.02,0.15384615384615385,0.8461538461538461
rzq5nqG2NG13o3ISxJSrsQ,0.0,0.0,NaN
kd9--kcOScxGYuDbW9wOBQ,0.0,0.0,1.0
FNN2v38cAZucLMxMmN83JQ,0.0,0.0,NaN
Y6rQQJiVHEn_SuScZzJSxg,0.0,0.0,NaN
mtsT8yJfRJnbwlpPqCRYkA,0.02,0.2222222222222222,0.7777777777777778
43zyz08tPXuHkhxMavXG0A,0.04,0.3076923076923077,0.6923076923076923
cwueZl7VqnEiuY-c8CWaLQ,0.12,0.26666666666666666,0.7333333333333333
kBjlWLf5KIYLTkL_1zB7Tw,0.0,0.0,1.0
jn6vn65m8uwXLmaTXtQkRw,0.0,0.0,NaN
13sD6TO71SdkB_Xcn275Ug,0.0,0.0,1.0
TryfbZaaGtedncOMq9k86g,0.0,0.0,NaN
OMOeCufDJnlEYtvaRklbVA,0.01,0.5,0.5
AY_cjY1bRAD-I_K11dYvOA,0.14,0.25,0.75
ECQoBkfBts8jeVBlVaSaLg,0.0,0.0,1.0
R4_s7rNd0BLtEUK8bneufA,0.01,0.08333333333333333,0.9166666666666666
ZzBgxz76VzapGy58-eOPEA,0.01,0.16666666666666666,0.8333333333333334
ChWFX5QrRn1H6VYa-9eKHg,0.01,0.3333333333333333,0.6666666666666666
ZW217qAFcBZIFYQleDnm8g,0.0,0.0,NaN
asBFS8k9REpYniB9gVu2Dg,0.0,0.0,NaN
iDlkZO2iILS8Jwfdy7DP9A,0.03,0.07894736842105263,0.9210526315789473
vupnMb60HSaTZrMPYsNsiw,0.0,0.0,NaN
N2OUdPlS9RQHjE3zB7dtQw,0.02,0.2222222222222222,0.7777777777777778
ThTUwfNAdWrK6tKvl-Dtpw,0.01,0.09090909090909091,0.9090909090909091
U2sN2-HGvh27FyXKFlvkBg,0.02,0.25,0.75
HJ0PagNZAg-JJPwu7WdLoA,0.0,0.0,NaN
_lQ9kg-SXdaKNyvRS-I4Ug,0.02,0.08333333333333333,0.9166666666666666
xB6hzmt8aZ06xqdFpLSRoA,0.0,0.0,NaN
TdJ-Sm-_DNDNT14-zUWe4A,0.0,0.0,NaN
o4gaI4EdzxJ9Al4houpusw,0.0,0.0,NaN
a01-flyTlRqKikm6jv7X2w,0.04,0.19047619047619047,0.8095238095238095
yAdnKwB8ReKDY-0po46Thw,0.0,0.0,1.0
Ux4k0W1fvJED0PdU6I8pkA,0.02,0.18181818181818182,0.8181818181818182
Qt6KlG9mVG2h87pJ7jVADA,0.02,0.3333333333333333,0.6666666666666666
Rv8cduGW_BTlv7Ryz5JmGw,0.0,0.0,NaN
s79vzEzqavL_29pmraXZBA,0.01,0.07692307692307693,0.9230769230769231
CrBa61fbUa8BuWJDy3Obgg,0.02,0.2857142857142857,0.7142857142857143
AbVdT3VAgGKhaH7XTi8iew,0.02,0.2,0.8
Npim4I7cjLhnbgX8qt46jg,0.0,0.0,NaN
Q4Qfu-3vYtL1LRm2X1b0Gg,0.0,0.0,NaN
GVIpmH7bkPFcu8a3VXt3xA,0.0,0.0,NaN
GJ7PTY7huYORFKKg3db3Gw,0.0,0.0,1.0
_4nl1_JNiWj8PU2auSOrqA,0.01,0.08333333333333333,0.9166666666666666
9rAqVK2XhLaHEEPXBuVT_A,0.01,0.2,0.8
R-WSKg7NjGyBwIjN4q47xQ,0.0,0.0,1.0
5TCgTJE7uZ848zOEEUiVNg,0.0,0.0,1.0
OZErOKA1RaH2J6flZhU-zA,0.02,0.1,0.9
S9Jw00eZHVj5_0sOM_C5Rg,0.01,0.07142857142857142,0.9285714285714286
o6__ZWGttmlxG87FuHcF0w,0.0,0.0,1.0
c40DTzCb-fHY6vI03PNRLw,0.07,0.23333333333333334,0.7666666666666667
UkLiM2r9UcVXdx81JPGZyg,0.01,1.0,0.0
UK2DsID5q3MCqYX23S6xXw,0.0,0.0,1.0
pMF-NXnnBtF2QHtm43v85w,0.02,0.125,0.875
dlOYCLB7XKORL-BE9lnPnA,0.01,0.25,0.75
YQPDBJKKFFseQybsvo2rog,0.0,0.0,NaN
KeAZHRMFdBBibJBNSaaTUA,0.03,0.21428571428571427,0.7857142857142857
fIxWWXpzRXt796UNs5DDEQ,0.0,0.0,NaN
Hw8mxfICqErjwIVsC5rXUw,0.03,0.2,0.8
D4X52Cyh_TOEac9B0UkFkQ,0.0,0.0,1.0
iT9-cHTEkzUmb85Evy7xcg,0.01,0.5,0.5
6cmLcsKtyzDwPvkYckD3hg,0.0,0.0,NaN
ALK9WBaokEtmotik0RepTQ,0.0,0.0,1.0
7sNE58P4AvsX6QHE8ypCiA,0.0,0.0,1.0
oWd7wL340Z9JiGf5Wu_bSQ,0.03,0.5,0.5
MwWO6axFPTCXqN0DAfUhIQ,0.05,0.17857142857142858,0.8214285714285714
U-TB3j6X8DU6_YiCCnbuFw,0.0,0.0,NaN
prpOBEbyb1HD26t4755gtw,0.0,0.0,1.0
H-8XAPvVls9PROmECeW_Uw,0.01,0.07142857142857142,0.9285714285714286
6Nk8WX1STMTEuKjmRlrh6A,0.01,0.0625,0.9375
Xr5ceZ5Gq7cc8YuyLYz2bA,0.0,0.0,NaN
6xXMPPNb4IlFg1_xB6hydw,0.0,0.0,1.0
qb9kvGuavKng9adYvx-RMg,0.0,0.0,1.0
A2x6u68OhW2XIxq5sAIMaQ,0.01,0.3333333333333333,0.6666666666666666
tFTU5yWOCQLqJMs2YhAaFQ,0.0,0.0,NaN
EMM4HqI1mV7SwqXen6knJw,0.0,0.0,NaN
PnP7LY0ZyY0JkbZp4ecz5A,0.01,0.125,0.875
sTAAPSkBP_6zxpajW40bHw,0.0,0.0,1.0
ZUoL4srnWYglcbzUjMPi7Q,0.03,0.10714285714285714,0.8928571428571429
Z3nwYQzDUimoUl8LNDIxjQ,0.01,0.14285714285714285,0.8571428571428571
gWc0VxrzNh4qN6AuXreWGw,0.04,0.2,0.8
4ECIXWllFTxtJaj1cKOZWw,0.1,0.30303030303030304,0.696969696969697
dXEp1pbm0i2iAZ8Ifnpu7Q,0.0,0.0,NaN
mqRYyvutwc7nC_7oay8MHQ,0.0,0.0,1.0
D2ljL5ejuqpa4f8fnZ1qjw,0.01,0.25,0.75
PqX6OuXz7II9RHWmGEp0QQ,0.0,0.0,1.0
6Z9B-CtCS6R8Sil7U9cz9A,0.0,0.0,1.0
TSThCn9RaHqYF1VknVTTRQ,0.08,0.18181818181818182,0.8181818181818182
rA97zeqOrUYuEM69n0Xn4w,0.02,0.6666666666666666,0.3333333333333333
dx6IhkOv5K-W6xbPk2_M5g,0.02,0.3333333333333333,0.6666666666666666
TYy88K5rTeCqq-4dhm5P_g,0.01,0.14285714285714285,0.8571428571428571
EgUGBGTJUvFJgHyFwgpD1w,0.0,0.0,1.0
XzvdDq5VTiRZTd_6BHT08w,0.0,0.0,NaN
vXYKT-s7XDUB3Ygp6y4N6A,0.01,0.3333333333333333,0.6666666666666666
OzETGbgcAn8udzCgzUjp0g,0.0,0.0,1.0
QuZbJquRtbY9O9JrB9NpxQ,0.0,0.0,NaN
wkEUf5hrjbR0MfTgZU8eVg,0.03,0.16666666666666666,0.8333333333333334
OMEl_8PMsst9UVF5l0k7Sg,0.01,0.125,0.875
XHOyuaYEhETRu6r9Bzbvvw,0.0,0.0,NaN
-zrXNYGN93L3DiujE7zABw,0.1,0.25,0.75
b8LFVfj8Gu3FWJB38b-EDQ,0.0,0.0,1.0
Kgmvv8Y7WJLNOvbIiKHCoA,0.0,0.0,1.0
cpQjpV8uTZWBwqWbFuv2xg,0.01,0.5,0.5
Q09MLnZyBhxDyUjGjD-7dQ,0.02,0.11764705882352941,0.8823529411764706
eDqH7Gr6Pqo7adfZwfQetg,0.01,0.07142857142857142,0.9285714285714286
MdEw8zjnmMdeKQ0vYVmzUA,0.01,0.5,0.5
Z128ihQea7BLPh2T9q9sKA,0.03,0.15,0.85
jHONHSh8BHkmDARrfcoCGg,0.03,0.1,0.9
CF7eIu95znwa2uM_0BfNtQ,0.01,0.1,0.9
3xhIAIzNPhFAp24U3oCB1Q,0.0,0.0,NaN
PyGKfcNiEUGIpN-qv33nkA,0.0,0.0,NaN
l9G9qMq0M97HP6LWN3akVA,0.0,0.0,1.0
JuTO7A20Ch6owCErIBzCAg,0.0,0.0,1.0
C5CHGx_c1kQkA7kT5xaPaQ,0.0,0.0,1.0
2dwYOBA88dId2BwgjWPEfw,0.0,0.0,1.0
9mISZLpu049t8lcOdjBANw,0.0,0.0,1.0
DTYyH9bhrizMV3WVT9ZX2A,0.0,0.0,1.0
q6WC_ded0F01iIPkwYUijg,0.0,0.0,1.0
-KzQH0n2ryLorsVgO7KeRw,0.0,0.0,NaN
NGRGG7nW7mv63SZ-IOfYKA,0.02,0.25,0.75
nFdGjcrP7hq-pVcRyExa6Q,0.0,0.0,1.0
5CQ71pQ4or-_dmi2KGQgzQ,0.0,0.0,NaN
vOdD6pj-ca0ZipQHy8GSKQ,0.02,0.5,0.5
S_Joujv7euX3N9yHqE4IMw,0.01,0.3333333333333333,0.6666666666666666
lqfCumXC24HofGKkgn1Uiw,0.0,0.0,1.0
1vwbBseeDMs8J-4zSz851Q,0.0,0.0,NaN
h9Bu6HuCWktHPBLb6_kduA,0.0,0.0,1.0
B5hmocZTq-e9FHOlQ8lVGQ,0.03,0.17647058823529413,0.8235294117647058
F_VibKB1NLgl-sHMVeWZ_Q,0.01,0.3333333333333333,0.6666666666666666
81pzkzyZ-CR0Fazt8LjPzw,0.0,0.0,1.0
hh2jrSklEfM9Dw5q3rxP3g,0.0,0.0,NaN
kCVPl2RumlSgSDx9PMfXDA,0.0,0.0,NaN
suD8AjbVgB4pAXLawhIAmQ,0.01,0.1111111111111111,0.8888888888888888
0ygWZ_gXF8qTm0bY95JJqA,0.01,0.5,0.5
35MI_KUO4L_fKb8mAVFwng,0.0,0.0,NaN
YcgddEm2VxCiqvfh6sYFuA,0.0,0.0,NaN
BwtgHBtKodsPGHJABzqwiw,0.0,0.0,NaN
LnnYSUlw_MVdtoYUt4oZ5g,0.0,0.0,NaN
XNSyl47aXuPsvC5zXm5uhw,0.0,0.0,NaN
jzkbhkRdjWPwTIOgRGggIg,0.01,0.14285714285714285,0.8571428571428571
f__9p6lo6hmwnAEh3yorsQ,0.03,0.08823529411764706,0.9117647058823529
2hPB83XGvb3InsZQwAHmUw,0.0,0.0,1.0
VXuHnpO4AvZjgfL5KmEEug,0.0,0.0,NaN
cmMX-rmnDnD06U1xGMEIAw,0.0,0.0,1.0
D2HbDbebY5PBBQxbxrjCXQ,0.0,0.0,1.0
avmRUkWovTsaDqKiNKdivQ,0.0,0.0,NaN
CVLBMj5O9TJApZ1OYQOAwg,0.02,0.07692307692307693,0.9230769230769231
G-_KF_Ul4d3WGEa-G0Iq4g,0.0,0.0,1.0
JEEYFXLbKy-KpbTT-BHb6A,0.01,0.07692307692307693,0.9230769230769231
S0YQ47x5g8SfZe87KGvsJw,0.0,0.0,1.0
tFSnxUGaNa2pwb4zClBu_Q,0.1,0.11494252873563218,0.8850574712643678
zZoSBcoN5J8FRPf5lKVZww,0.0,0.0,1.0
FsNBiid47SkFaWdhl7ciYQ,0.0,0.0,NaN
NCvGgElcvNo4WJQPzhpKSQ,0.0,0.0,NaN
4ZkQwaOoLT2eJWux9fE1Jw,0.0,0.0,NaN
TSE_ZF_QxXXv7DlCtRCacQ,0.0,0.0,1.0
iGwIVlQBFX5h2_8sCdIyJQ,0.02,0.125,0.875
LmPxZshPCXBd4mrERDU8RA,0.01,0.5,0.5
RQc1sODOsSL98gRaRUnuYA,0.0,0.0,NaN
FBz8y_39QDBun4OYBmBMSg,0.0,0.0,NaN
-iOeI18tVuwxFHcqCe--fQ,0.01,0.2,0.8
4SxcUfHAVHzMBqb6TtNPQw,0.01,0.5,0.5
NUyshGJONCbnUvMlD_XaBQ,0.0,0.0,NaN
bAdsFiJbGiRzBzhSTUD_2A,0.0,0.0,NaN
LvDh4IoBHdtojqZI1G3vrg,0.0,0.0,1.0
gynMtvoyHZrSDsHMecwd8Q,0.07,0.3684210526315789,0.631578947368421
yqa2qWN6acpmDuDL3U61UA,0.02,0.3333333333333333,0.6666666666666666
anHzk1C0oQRtfuDj74p2RQ,0.0,0.0,NaN
2muqQ2k4gFIdw_GRtojoJQ,0.0,0.0,NaN
4hWXnIzkVcqor3svhBKWcA,0.0,0.0,NaN
1YorWW0Z-YDuYC5GplNabw,0.0,0.0,1.0
d_TBs6J3twMy9GChqUEXkg,0.04,0.06557377049180328,0.9344262295081968
0Fr4FFf5mJ1ImHwLfBu5iA,0.02,0.2857142857142857,0.7142857142857143
afbBrv8hlpxmpak5cZgppQ,0.03,0.17647058823529413,0.8235294117647058
6WYPtBdVh8Iwt96RBGpmSg,0.01,0.125,0.875
9E35LB29RXJixo0563Iwew,0.01,0.09090909090909091,0.9090909090909091
3PnzCtO4eEagc9vq9rZGNw,0.0,0.0,NaN
UodOBKFEFy4M_lCqw9q2jA,0.03,0.25,0.75
0jRcmkgwrjsPtDOeqLJweg,0.02,0.125,0.875
F04oV9zmhwayogr4D-ljAQ,0.0,0.0,1.0
t2Z2DIvvmNdjoH54SFGaKg,0.01,0.09090909090909091,0.9090909090909091
Qjrn5UsK2HBZxx40HYA1iQ,0.0,0.0,NaN
zDGGAnTvhOiSV1gTJKZHTA,0.0,0.0,1.0
p_azadim_uWFOXAhhKB3ag,0.0,0.0,NaN
ctXFXk9-m6PCMoI-Nz2_XQ,0.0,0.0,1.0
irxpUjwKmVx4jDdPKk_mdQ,0.0,0.0,NaN
g0UJg8p83Pr-u1CZfEcFxw,0.03,0.25,0.75
U__Bv9NVVrFOKdZMsl3E3A,0.01,0.5,0.5
Z_PFVN3z3RpEAMwe94cqVQ,0.04,0.16666666666666666,0.8333333333333334
-XXNYOT4fiuH2-TbqfLVLQ,0.04,0.25,0.75
jL41h4Ez98PZfqiKzbbY1w,0.03,0.11538461538461539,0.8846153846153846
2NhLnmeGsZRz-x_QrzO-ug,0.03,0.23076923076923078,0.7692307692307693
TQSLNRAtiXj1zyLZ3OAVrw,0.0,0.0,1.0
akEFRm7rqlxIANKyTlaTOg,0.0,0.0,NaN
z5TgzjEw8YfEbD4KkgKRxw,0.02,0.5,0.5
el3TmKFEFzZOcNbCw2FNlQ,0.01,0.05263157894736842,0.9473684210526315
SqDu5Ydi4hpIxeuE33j23A,0.02,0.09523809523809523,0.9047619047619048
iz0Gk0dHN00biZka56M22Q,0.02,0.08695652173913043,0.9130434782608695
QrLTUaXi52Xnx9M40Fv1Jg,0.01,0.058823529411764705,0.9411764705882353
3iaQRn8gPiuarpYmv9dOJA,0.07,0.5,0.5
NX-OKjTXE5DekxfqVrmFaA,0.0,0.0,NaN
94dYbSY-i1HG6La1QT6Hlw,0.01,1.0,0.0
7WJuXJ_JsRimieKTp6YjaQ,0.0,0.0,1.0
gqL5KBs2oS7qobnyd99iKg,0.0,0.0,NaN
bgl3j8yJcRO-00NkUYsXGQ,0.0,0.0,NaN
sYPuLHkyWjOjjNPYgrkt-Q,0.01,0.25,0.75
rgvuMmaMu8jqnlt90Ydn9w,0.01,0.3333333333333333,0.6666666666666666
P3twsMtaxi1rEufBjhA7Kw,0.01,0.2,0.8
ocB1WhramMTkICc5sZ1bUQ,0.01,0.3333333333333333,0.6666666666666666
JSG_FhQyK1Psg0nDtklt7A,0.01,0.3333333333333333,0.6666666666666666
aSbnrqpX-CHr8nxHhaCHZw,0.0,0.0,NaN
SpwI8V8F199kF1s2i1PpZA,0.04,0.4,0.6
uX_x79YoBJphN0v5W06PDg,0.05,0.625,0.375
S-oatbN-h7SKiWwkTWw5QA,0.0,0.0,1.0
W4ZuWztx47aiksyYPUMYDw,0.13,0.25,0.75
YKPM9UDqKzPpgekWTFezsA,0.02,0.18181818181818182,0.8181818181818182
DPitNu466172os6m0Yri1Q,0.01,0.05555555555555555,0.9444444444444444
JaX-PMgI75CggE6ZzflsoA,0.01,0.5,0.5
PV-0HCthlb_pxAcCvSUfMQ,0.0,0.0,1.0
9w4vI3LRTA4JdJyzOxeEMw,0.0,0.0,NaN
1K6hZMMBPusLvjtx11Y4NA,0.01,0.5,0.5
T8LqkYbwMPZmvXSsUfN8sQ,0.04,0.36363636363636365,0.6363636363636364
nXMMoDzXRByQiWH9cf-FAQ,0.01,0.125,0.875
6J16PG5AJPPglpK3Cyn7Ig,0.0,0.0,NaN
KeuwC8E1238SP6xyKpBM6w,0.0,0.0,NaN
YYJyRguDNjEYWzozCSNnFQ,0.03,0.10344827586206896,0.896551724137931
