users,precision,recall,mape,commonResto
XV6EkCsNwzzDbTOwSutsTg,0.04,0.041666666666666664,0.9583333333333334,1
UXpTrzITc0yg08sXftsa-w,0.0,0.0,1.0,0
WrhnuLDFmyu_bB-FLP_gsA,0.08,0.08695652173913043,0.9130434782608695,2
A-IkCqnYosZa49XD9qiSww,0.0,0.0,1.0,0
e3zojPmUy-2vW48PWn7Fpw,0.0,0.0,1.0,0
hFy3pG3uBnWbzYk79nntVQ,0.0,0.0,1.0,0
XXxrsJ3KpTFybcBFpZLYiQ,0.0,0.0,1.0,0
myrcQ3h2G04Gv-ANG_oqrg,0.0,0.0,NaN,0
lMNbGAn2HmHypSJpUsqFNw,0.0,0.0,1.0,0
j6Kv_wLQzZMWobLIyijX3A,0.0,0.0,NaN,0
zh7csWc3GAUksnShzGp-WQ,0.0,0.0,NaN,0
0J9mtVJ4_QGsXYVK8qJzOQ,0.08,0.10526315789473684,0.8947368421052632,2
LPxx7_13EO7O_ZvLqEds0Q,0.0,0.0,1.0,0
pJYRi9MB06aiuL-w8Ms-Og,0.0,0.0,1.0,0
YDAL4CBJcp3xrYgAGVGgaQ,0.04,0.3333333333333333,0.6666666666666666,1
V5k7_bxn26hZrZHbAJQp8Q,0.0,0.0,1.0,0
Iu55D7RAAW8TACA3lN0w8Q,0.0,0.0,1.0,0
bQxs2JWnnXIJU5bkxCovNw,0.0,0.0,1.0,0
EiT_pSuIb08oRn4CfwfMJg,0.0,0.0,1.0,0
_iBliY4plQYZjHj8FCMvjA,0.0,0.0,1.0,0
wBFcKQVAInFxxLydXd_U8Q,0.0,0.0,NaN,0
bTpNQ9u8zcphG9rOy750sg,0.0,0.0,1.0,0
6btMczuTVuoJnmarbkWP_A,0.04,0.08333333333333333,0.9166666666666666,1
6t4RkHusn2QxXZjM81U_Tw,0.0,0.0,1.0,0
XbiKsujS_qxU3xsr0xUqmQ,0.0,0.0,1.0,0
UkwuYrzwLXI_QidhVzUkgg,0.0,0.0,NaN,0
o5hk57cqhWnV1sULPvq1jw,0.0,0.0,1.0,0
tmdcGp6m6-pHjBJ0pBemrw,0.0,0.0,1.0,0
tRmW0n2d_Q4c_TXqfUSINA,0.0,0.0,NaN,0
GdOftL3cyuc7Ir89iIzSvQ,0.0,0.0,1.0,0
mjH-h9O2ZkMiYR9EOkDB_g,0.08,0.125,0.875,2
7hAhYoMPjHnxKCz6MQ95Bg,0.0,0.0,1.0,0
IbwI369hSb9lkdWPeAYmgw,0.0,0.0,1.0,0
SUnyBS7HB3Nv_C78ygbpnQ,0.0,0.0,1.0,0
U1fqtN3FXMPHNafXq4C9nA,0.0,0.0,1.0,0
npL9RrkAslHCf5JURxhl7w,0.04,0.1,0.9,1
KG0xHGP6ozKJg254UYgPDg,0.0,0.0,NaN,0
Ip7GdJmVv1Ju0fsol7y5mQ,0.0,0.0,NaN,0
saehzVQ7qhtc1v4bQdQ8Wg,0.0,0.0,1.0,0
t-0_us3OTzs_ZhKy6fcamg,0.0,0.0,1.0,0
axNHjLGaj_aFtx-yS0q_Dg,0.0,0.0,NaN,0
oDtyajyLhV6iG8aBSwlQVg,0.0,0.0,1.0,0
-d2daWmftYumOaYpbD5D8Q,0.08,0.11764705882352941,0.8823529411764706,2
D8iGf2Sf9NrNw62wptur5A,0.0,0.0,1.0,0
2AxoUMKy4fM-WikXbIPcmA,0.0,0.0,NaN,0
8P2LkzPGV4ID_fE7gJGKGg,0.04,0.043478260869565216,0.9565217391304348,1
VK2TcRhK1vboobxmETDm5A,0.0,0.0,1.0,0
mj22XHVEWOe-mRh7GFuD9Q,0.0,0.0,1.0,0
ymI50mq1Vcf-J6GTtXTnQw,0.0,0.0,NaN,0
x0cMhVpUcYYHoLdrWSNIMg,0.0,0.0,1.0,0
k34ZlKQwy_ybVlYzeoBlbA,0.0,0.0,1.0,0
xYciRtVZ1PW4IxSX4oJ1aw,0.0,0.0,1.0,0
mzViENEM0MKHmIw0Mjo58Q,0.0,0.0,NaN,0
FYAkhIj29gyWD_Lte1v7SQ,0.0,0.0,1.0,0
ZoejY7GfNKHK0P1OVWQ07A,0.0,0.0,NaN,0
JLv2Dmfj73-I0d9N41tz1A,0.08,0.13333333333333333,0.8666666666666667,2
HAv4iHgSyMS4HKwl5hb98w,0.0,0.0,NaN,0
Qku2_2s2rXOj5BxkuHp0EA,0.0,0.0,1.0,0
esJ5E0pfjQ0UhSDVaix6Pg,0.0,0.0,NaN,0
0_iROv6FL4KCveV916IpTA,0.0,0.0,1.0,0
p8Pjhqm4dopSUdnMN5_6Uw,0.0,0.0,1.0,0
9WjF9IKOYhBWQGW5RR5Spw,0.0,0.0,1.0,0
TYj0omarAZbxpVggjkreGw,0.0,0.0,1.0,0
UoNEitmZyw8uw_MXDLjo9w,0.0,0.0,1.0,0
JInn7zPqOxhea4l8PUsBPA,0.04,0.0625,0.9375,1
k0hZPaZjS1y8A-gxGjWsQQ,0.0,0.0,NaN,0
5Sn9uNj5aXS9zfaY9s8y1A,0.0,0.0,1.0,0
PTcKYk_qU-WzbQjraE3TgQ,0.0,0.0,1.0,0
AghKXr53xNvKjh_A5Ur1GQ,0.0,0.0,1.0,0
7_RaCe5zzPBYWm9znlffUA,0.0,0.0,1.0,0
jz1_R_ilTsC-Kqc04oa3IA,0.0,0.0,1.0,0
eOTzkS-by4pVwwCVrifmqg,0.0,0.0,1.0,0
tHWq61FmO0Vrd4qStq3g8Q,0.0,0.0,1.0,0
OZWskTOKCWvYejhu63gFmQ,0.0,0.0,1.0,0
hTZb1INhnCG8URaFywVoYQ,0.0,0.0,1.0,0
veqfgg2AkKs_L70fx1Quag,0.0,0.0,1.0,0
JndpB8cHO8py4bbB8uCV3w,0.08,0.15384615384615385,0.8461538461538461,2
TpyOT5E16YASd7EWjLQlrw,0.0,0.0,1.0,0
0uNxhZAFbkalQImzJ6UDUA,0.0,0.0,1.0,0
gSLQ-2A7b_d1JmXzN5jFzw,0.0,0.0,1.0,0
Dh4HFUiw9Ip5wFQM_kEbbw,0.0,0.0,NaN,0
4pmNxufbrzc5u8MwNdRyuw,0.0,0.0,NaN,0
2Z0Ey157Bkny4qk5qdLyHQ,0.0,0.0,1.0,0
pZsVUkMb4yGMGoTRzNS7Ew,0.0,0.0,NaN,0
MbBhClrXyu8-Mk5wW5y8tg,0.0,0.0,NaN,0
uHZr3XbjKvRTwdXLXrFuvg,0.0,0.0,1.0,0
qCYSdhsOzHBKT-V72BiYNA,0.0,0.0,1.0,0
1Ap_OW4nUq5njHTCFJxspg,0.0,0.0,1.0,0
79-Jme5Z9rQMzM_rTZlNvw,0.0,0.0,NaN,0
j6wLUT0ZXi-x0otelYIFpA,0.0,0.0,1.0,0
UGnUriMZaAzzyu5KT8viKg,0.04,0.08333333333333333,0.9166666666666666,1
8zXgNCkusOHMwh5Tj_8yCQ,0.0,0.0,NaN,0
-3Kq9ssSot4QizbPYO6ZQQ,0.0,0.0,NaN,0
Fsl7fnXttgugpoyuCJ0zkg,0.12,0.08571428571428572,0.9142857142857143,3
zIAql6Ztx6xsG5cBLpDiJA,0.0,0.0,1.0,0
aIg29snwGTFBzkV7HtDHfg,0.0,0.0,1.0,0
--Qh8yKWAvIP4V4K8ZPfHA,0.0,0.0,1.0,0
HFItzRohDHZvcKDrM6ABZg,0.0,0.0,NaN,0
jqFdVLWIAuZ4olXcDAkXkQ,0.0,0.0,1.0,0
X-VOe5bzT9EJu_L_Bt0nLQ,0.04,0.05,0.95,1
_JpQ84FfRPG0TTw_T0zR_A,0.0,0.0,1.0,0
AxyQGSEnCh04H2_wSLrTtg,0.0,0.0,1.0,0
U28XN1IGtjsQL2DUxr7FKg,0.08,0.09090909090909091,0.9090909090909091,2
bg9FRc71Daub48GmIKfX_A,0.0,0.0,1.0,0
Jn8louhYd-BA7m9AqdRciA,0.0,0.0,1.0,0
WkSTxTkTfFC9G3uo6m3H5Q,0.04,0.1111111111111111,0.8888888888888888,1
yJaaQqzlcIdRIJD5w1lJag,0.0,0.0,1.0,0
fiz9Y2dagXIEq0w8FGOGnQ,0.04,0.06666666666666667,0.9333333333333333,1
n2WdvOLYvMHQJxPD8rpZYg,0.04,0.16666666666666666,0.8333333333333334,1
69y7eZP22sPr6fJ_fxGB9g,0.04,0.25,0.75,1
BNKWo55_3v5WNUgj-hsDZg,0.0,0.0,NaN,0
yrhB_rQyrmSQ8WFSHxzaEQ,0.08,0.2222222222222222,0.7777777777777778,2
Y598FH7fNMq45DkVSbN0DA,0.0,0.0,1.0,0
H4ECp8d_jYLGHsPCgD5ltw,0.0,0.0,1.0,0
aomkMAGFrL-gD6cqQjB4bw,0.0,0.0,1.0,0
YOOsYiXGEtGFX_wSeZNcww,0.0,0.0,1.0,0
JqY7eDmwwtjSYJaUqv0Izg,0.0,0.0,1.0,0
WzNDoQ3Th4eqj_SOkR7zIQ,0.08,0.1111111111111111,0.8888888888888888,2
HkJ1p-QlRx6FJztgjr4Vnw,0.0,0.0,1.0,0
EdDmKiz6V89g6Dws9I4AKA,0.0,0.0,1.0,0
YQxd76rE_mCi1ii361GDNw,0.0,0.0,1.0,0
Hci2c0qo98CO-Pv-VmV7gg,0.0,0.0,1.0,0
bCLqNCdhUdsmTj9Braespg,0.0,0.0,1.0,0
FlroRLQ6hWhRApL9tWSO5A,0.0,0.0,NaN,0
ay1vHGcKovq8tBeTvqJ38w,0.0,0.0,1.0,0
bIXj8nZWd9f3vEHzPUJ4lg,0.0,0.0,NaN,0
Wu0yySWcHQ5tZ_59HNiamg,0.0,0.0,1.0,0
56_DKQpK4tT0rWLt4-DZOQ,0.04,0.125,0.875,1
2qP4V0sCtYSQg95ZfUlmNw,0.0,0.0,NaN,0
bz3Reh0S84qJjAAB_hpl3A,0.0,0.0,1.0,0
F_SLKO6rcypQbbZEm-yRRQ,0.0,0.0,NaN,0
VMKn920nDRBFNwp-IUE5VA,0.0,0.0,1.0,0
mH8UvY1RjUTjfKejkIxPzA,0.0,0.0,NaN,0
66R-1FGOg7SoJLtkSXVfuQ,0.0,0.0,1.0,0
VI3WYpyaWGj-jtz3CkMP2Q,0.0,0.0,1.0,0
FSzxEJHeDjEB6Lsotqc1Qg,0.0,0.0,NaN,0
oPVY6-CJt2EI335lKWwxmg,0.04,0.1,0.9,1
gXQfe8T1UvMpmR5rcWpGWw,0.0,0.0,NaN,0
AOmYtTcKe0NHtTgX9nbGSg,0.0,0.0,1.0,0
ZRwZ3xFwtlRu1p4ydvca4g,0.0,0.0,NaN,0
lARJ4ih-0IVq1hvwhhiyuA,0.0,0.0,1.0,0
pR0DlDaMaMHsBM9P6otqkw,0.0,0.0,1.0,0
Z09rco1enQXNCd9H0u7kvg,0.08,0.05555555555555555,0.9444444444444444,2
o4fX4RPaovJfle7ubAD_tw,0.04,0.043478260869565216,0.9565217391304348,1
rS6v4WRa2gc36vVZN-BdCw,0.0,0.0,NaN,0
fkdrvWbTnW3NSaAQDQ7m9w,0.04,0.037037037037037035,0.9629629629629629,1
P7EV3yrn1PLHDBX6rF6qIg,0.0,0.0,NaN,0
OLR17R3IDhFEUXoiuT_9fQ,0.0,0.0,1.0,0
5gYF8vCPu6bs7kJ4dIB-9A,0.0,0.0,NaN,0
Ao-6FYE29-I8WwPg67806A,0.04,0.029411764705882353,0.9705882352941176,1
tX4d5ktzse4TPxNOds4VCw,0.0,0.0,NaN,0
NCBwH9Xx3zNFmH5rk2M_FA,0.0,0.0,1.0,0
1ickSuyOWWKWdQpauKmkEw,0.12,0.16666666666666666,0.8333333333333334,3
rp10AQdPM9MIxNzxj6SOZw,0.0,0.0,NaN,0
GPASJQMtRKQ5kxlXK29UjQ,0.0,0.0,1.0,0
YuiHy5G_2y_GB3_iHeJToQ,0.0,0.0,1.0,0
gMfkWTxRVZtJAMm_adQKsQ,0.0,0.0,NaN,0
CwkEpm0lCai2cJZIp_MMiQ,0.0,0.0,1.0,0
aLvxbF2DueKFOqul9eVWCw,0.0,0.0,1.0,0
zbSBmoujGgIPuNWQcny14g,0.0,0.0,1.0,0
XuCbLgo9j1q5dDh9251vkg,0.0,0.0,NaN,0
WgaycWkFXshvGtct42d_-w,0.0,0.0,NaN,0
GXVEhnIM1CpiGj9TZehxGw,0.0,0.0,1.0,0
lhyNuR1HIZ0Ym7A0ydLzmA,0.0,0.0,NaN,0
74goFJSWzAwmk69XfPqEag,0.0,0.0,NaN,0
DoUEOgllx0VTLCn5uyciOA,0.0,0.0,NaN,0
YRcaNlwQ6XXPFDXWtuMGdA,0.0,0.0,1.0,0
0xRAAStEi_dBFLD-1xSMHQ,0.0,0.0,1.0,0
y3MNMa0SG_cHC1cwmmntpQ,0.0,0.0,NaN,0
_9WN_qmjbbRu6eFCMVXokw,0.0,0.0,1.0,0
H3tbSSoX5FbCyKxl4Fu6gA,0.0,0.0,1.0,0
D-vYE3HILl7Qk1UhYqZXYQ,0.0,0.0,1.0,0
1l4xyCisqnaDQzLnPDS0yA,0.0,0.0,1.0,0
sWKaLjpYG6VABf23CXDhyA,0.04,0.05555555555555555,0.9444444444444444,1
oZyiiNdA-I5zk_EHUmGRMQ,0.0,0.0,NaN,0
OLFjrEeRX9xVESXUqFzmkA,0.0,0.0,NaN,0
aU8saUu9QhSFvnYeUsxO-A,0.0,0.0,NaN,0
k7tSOhkjxuJ1EMkeaBbXyA,0.0,0.0,NaN,0
LaO4FZ2yPbqRjlv6QoaUJQ,0.0,0.0,NaN,0
mI4JiIhxbL_oNC6Dkd7pZg,0.0,0.0,1.0,0
sEgDGPj3qKwxE-E1S2MX6g,0.0,0.0,1.0,0
MbC0xPzIdGkFMCpPb8yWDA,0.0,0.0,NaN,0
PGx4HvY5joEeqXzam6tO7A,0.0,0.0,1.0,0
uEEcEP_48tYFq7PabMBP5g,0.0,0.0,NaN,0
hre0l9gB19w6cIbapFbFgA,0.0,0.0,NaN,0
Xwnf20FKuikiHcSpcEbpKQ,0.0,0.0,NaN,0
HWIDUXNyTiWFYZBXnXHlJQ,0.0,0.0,NaN,0
DFzs85LXiL3xNfzuaFAEOQ,0.0,0.0,NaN,0
Qx8WMsFNHBfx6rIH_G0nBw,0.0,0.0,NaN,0
4PPHan2Iq6hhgXuMdraYhA,0.0,0.0,1.0,0
jkVaPj3MIS69-OcfX0c_CQ,0.0,0.0,1.0,0
TUy0cc8WDC-iZTYt_pJ7bQ,0.0,0.0,NaN,0
VnKj044Tt5doqaVDIJbWsw,0.0,0.0,NaN,0
jdYjyxjoxjnKoStcIhXKpQ,0.0,0.0,1.0,0
Mfypzn4xVySfWW_hb0pyaA,0.0,0.0,1.0,0
fxEoLJp5wTyw2sc5dmktrA,0.04,0.16666666666666666,0.8333333333333334,1
2Rw4bXIrKd94be-BXMzoyw,0.04,0.07142857142857142,0.9285714285714286,1
0uacsMYppmm3Kl1bpWIOxQ,0.0,0.0,1.0,0
8qY0rSk-AUtCAl8th4ru2A,0.0,0.0,1.0,0
YgC5A_oMsF4n7zOcSJ55tA,0.0,0.0,1.0,0
XfQloz-i6NywnjZl0OIzwA,0.0,0.0,1.0,0
vQ5TMhkJHt8Wt8A1kDAzbg,0.08,0.14285714285714285,0.8571428571428571,2
TZelLnaGbHgaG7LBI6rfgg,0.0,0.0,NaN,0
j1v4hTEcb9Nnm5aQhlJ3OQ,0.0,0.0,1.0,0
FWDwuX8k8dwUICg8EG9dUQ,0.08,0.1,0.9,2
C3aIEUOx-vrHAeGVDnMAjg,0.0,0.0,1.0,0
BOijsp9rwVGS4ScmOMf9bg,0.0,0.0,1.0,0
oqOd-BdSCHGirleO3UwLjA,0.0,0.0,1.0,0
73-0YwihQK87y7oH_pO_1w,0.0,0.0,1.0,0
Bg9UeLdxCMJpQWu9fvYTJA,0.0,0.0,NaN,0
pn_flI3EBNugBEYFp9okxQ,0.04,0.03571428571428571,0.9642857142857143,1
lJzgOpVS1pmb2UW7j2GkDg,0.0,0.0,NaN,0
UMVPoZ5YYewEmVZLBPpXSg,0.04,0.058823529411764705,0.9411764705882353,1
27Q8zHOTOTz-w6HB2sk3oA,0.0,0.0,1.0,0
wky4BZxCELi4PZcvb11qYQ,0.0,0.0,1.0,0
hYnq9-wO-RzmiTTGMCNJgA,0.0,0.0,NaN,0
yL60onlTh1BmJKVLli_K3g,0.0,0.0,1.0,0
Kh0cFp8G0CPAtyphCKxkiw,0.0,0.0,1.0,0
U-Jeag9UdHNNGOkA7VkWCg,0.04,0.07692307692307693,0.9230769230769231,1
PRJMe-RgFnCEhyy7tf3DmQ,0.04,0.043478260869565216,0.9565217391304348,1
SuOLY03LW5ZcnynKhbTydA,0.04,0.16666666666666666,0.8333333333333334,1
4WoAauE_v-vwMuQ665rMyA,0.0,0.0,1.0,0
gbWMEA_d0EBlBeLqyGvPng,0.28,0.2692307692307692,0.7307692307692307,7
Ydv1CUhVtIaBFmVf_rmuyg,0.0,0.0,NaN,0
1LpChUg-0EqRKRKzL4ogYA,0.0,0.0,1.0,0
7WMbeIW3DTQE1HTYy3Gm8A,0.0,0.0,1.0,0
zhS9cyzz2XwJADcikGsc9Q,0.0,0.0,1.0,0
dIUgat-6igSF6hfhYWyhgw,0.0,0.0,1.0,0
2oMkzQcRL7-d7URt3Xo_Xg,0.0,0.0,1.0,0
e0AUdCu-jeOkLImiEzlTDg,0.0,0.0,1.0,0
JXfXkpQHldAYosTJ7EO4EQ,0.0,0.0,1.0,0
zZy5Jljx7rEvISiJ2isJpA,0.0,0.0,NaN,0
rzfZS51IRQiws8BHoPSm4w,0.0,0.0,1.0,0
oBc0gQ4RpFrqzpNlH6_epA,0.0,0.0,NaN,0
-9SoHrhiiUVmx6-MkyR4RA,0.0,0.0,NaN,0
_iX2q6GKxrYVrcGpEYwUWw,0.0,0.0,1.0,0
JrXC_MDp38BWwLn2SFdNsA,0.0,0.0,1.0,0
v2JbRxUd18qL80IcYJOQtg,0.0,0.0,1.0,0
TwMSmTQjxVWJSJnErBIXlg,0.0,0.0,1.0,0
XCDxUzBSY8-JOvcp4jqpvg,0.0,0.0,1.0,0
7HFkF9A2xaHxLqwcFnJ0JQ,0.04,0.045454545454545456,0.9545454545454546,1
fAfGwjh5A_ydd0A4ZdGenw,0.0,0.0,1.0,0
Em4XpeXTKXVy4GjBL291pA,0.0,0.0,1.0,0
2gZrgKYdAx92XvEhpHhWzg,0.04,0.09090909090909091,0.9090909090909091,1
